phase,method,path_template,requests
login-home,GET,/api/v2/groups/:id/profile_image_small,1
login-home,GET,/api/v2/pins,1
login-home,GET,/api/v2/users/:id,1
login-home,GET,/api/v2/users/:id/profile_picture_small,1
login-home,GET,/api/v3/sync,1
login-home,GET,/monaserver/groups/:id/group_pin.png,1
login-home,GET,/monaserver/groups/:id/group_profile.png,1
login-home,GET,/monaserver/groups/:id/group_profile_small.png,2
login-home,OPTIONS,/api/v2/groups/:id/profile_image_small,1
login-home,OPTIONS,/api/v2/pins,1
login-home,OPTIONS,/api/v2/public/login,1
login-home,OPTIONS,/api/v2/public/refresh,1
login-home,OPTIONS,/api/v2/users/:id,1
login-home,OPTIONS,/api/v2/users/:id/profile_picture_small,1
login-home,OPTIONS,/api/v3/sync,1
login-home,POST,/api/v2/public/login,1
login-home,POST,/api/v2/public/refresh,1
open-feed,GET,/api/v2/pins/:id/image,9
open-feed,GET,/api/v2/pins/:id/likes,2
open-feed,GET,/api/v2/users/:id,2
open-feed,GET,/api/v2/users/:id/profile_picture_small,1
open-feed,GET,/monaserver/pins/:id.png,9
open-feed,OPTIONS,/api/v2/pins/:id/image,9
open-feed,OPTIONS,/api/v2/pins/:id/likes,2
open-feed,OPTIONS,/api/v2/users/:id,1
open-feed,OPTIONS,/api/v2/users/:id/profile_picture_small,1
scroll-down,GET,/api/v2/pins/:id/image,21
scroll-down,GET,/api/v2/pins/:id/likes,23
scroll-down,GET,/api/v2/users/:id,1
scroll-down,GET,/api/v2/users/:id/profile_picture_small,1
scroll-down,GET,/monaserver/pins/:id.png,21
scroll-down,OPTIONS,/api/v2/pins/:id/image,21
scroll-down,OPTIONS,/api/v2/pins/:id/likes,23
scroll-down,OPTIONS,/api/v2/users/:id,1
scroll-down,OPTIONS,/api/v2/users/:id/profile_picture_small,1
scroll-back,,,0
revisit-feed,,,0
warm-reload,GET,/api/v2/pins,2
warm-reload,GET,/api/v3/sync,1
warm-reload,GET,/monaserver/groups/:id/group_pin.png,1
warm-reload,GET,/monaserver/groups/:id/group_profile.png,1
warm-reload,GET,/monaserver/groups/:id/group_profile_small.png,1
warm-reload,OPTIONS,/api/v2/pins,1
warm-reload,OPTIONS,/api/v2/public/refresh,1
warm-reload,OPTIONS,/api/v3/sync,1
warm-reload,POST,/api/v2/public/refresh,1
group-search,GET,/api/v2/groups,2
group-search,GET,/api/v2/groups/:id/profile_image_small,3
group-search,GET,/monaserver/groups/:id/group_profile_small.png,3
group-search,OPTIONS,/api/v2/groups,2
group-search,OPTIONS,/api/v2/groups/:id/profile_image_small,3
open-unjoined,GET,/api/v2/groups/:id,1
open-unjoined,GET,/api/v2/groups/:id/members,1
open-unjoined,GET,/api/v2/groups/:id/profile_image,1
open-unjoined,GET,/api/v2/pins,2
open-unjoined,GET,/monaserver/groups/:id/group_profile.png,1
open-unjoined,OPTIONS,/api/v2/groups/:id,1
open-unjoined,OPTIONS,/api/v2/groups/:id/members,1
open-unjoined,OPTIONS,/api/v2/groups/:id/profile_image,1
open-unjoined,OPTIONS,/api/v2/pins,1
unjoined-gallery,GET,/api/v2/pins/:id/image,2
unjoined-gallery,GET,/monaserver/pins/:id.png,2
unjoined-gallery,OPTIONS,/api/v2/pins/:id/image,2
